District Name	District Code	Subject	M+E #	M+E %	E #	E %	M #	M %	PM #	PM %	NM #	NM %	No. of Students Included	Avg. Scaled Score	SGP	Included In SGP
Boxford	00380000	SCI	          76	72	          10	10	          66	63	          27	26	           2	2	         105	     511.5		
Boylston (non-op)	00390000	ELA	         111	76	          23	16	          88	60	          34	23	           2	1	         147	     512.4	          56.9	          89
Boylston (non-op)	00390000	MATH	          88	60	          13	9	          75	51	          56	38	           3	2	         147	     505.1	          46.9	          90
Boylston (non-op)	00390000	SCI	          40	74	          10	19	          30	56	          10	19	           4	7	          54	     511.4		
Braintree	00400000	ELA	       1,848	66	         434	15	       1,414	50	         834	30	         131	5	       2,813	     509.3	          51.6	       2,217
Braintree	00400000	MATH	       1,659	59	         310	11	       1,349	48	       1,029	37	         125	4	       2,813	     505.5	          48.7	       2,208
Braintree	00400000	SCI	         633	66	         155	16	         478	50	         291	30	          40	4	         964	     508.7		
Brewster	00410000	ELA	         154	64	          16	7	         138	57	          81	33	           7	3	         242	     505.4	          43.8	         156
Brewster	00410000	MATH	         143	59	          18	7	         125	52	          88	36	          11	5	         242	     504.3	          41.7	         157
Brewster	00410000	SCI	          49	58	           7	8	          42	50	          33	39	           2	2	          84	     504.0		
Bridge Boston Charter School (District)	04170000	ELA	          74	41	          13	7	          61	34	          88	49	          19	10	         181	     496.1	          57.6	         138
Bridge Boston Charter School (District)	04170000	MATH	          48	27	           3	2	          45	25	         101	56	          30	17	         179	     487.3	          48.2	         136
Bridge Boston Charter School (District)	04170000	SCI	          12	30	           1	3	          11	28	          19	48	           9	23	          40	     486.7		
Bridgewater-Raynham	06250000	ELA	       1,448	58	         210	8	       1,238	50	         890	36	         147	6	       2,485	     503.7	          48.8	       2,018
Bridgewater-Raynham	06250000	MATH	       1,452	58	         189	8	       1,263	51	         892	36	         140	6	       2,484	     503.3	          52.2	       2,018
Bridgewater-Raynham	06250000	SCI	         448	53	          68	8	         380	45	         341	40	          57	7	         846	     501.8		
Brimfield	00430000	ELA	         100	64	           5	3	          95	61	          52	33	           4	3	         156	     505.2	          48.7	         117
Brimfield	00430000	MATH	         111	71	          14	9	          97	62	          40	26	           5	3	         156	     508.4	          59.0	         117
Brimfield	00430000	SCI	          32	76	           3	7	          29	69	           9	21	           1	2	          42	     510.8		
Brockton	00440000	ELA	       2,082	27	         123	2	       1,959	25	       3,795	49	       1,831	24	       7,708	     487.1	          49.8	       5,740
Brockton	00440000	MATH	       1,727	22	         137	2	       1,590	21	       3,965	51	       2,015	26	       7,707	     484.4	          47.8	       5,736
Brockton	00440000	SCI	         593	23	          44	2	         549	21	       1,312	51	         674	26	       2,579	     484.7		
Brooke Charter School (District)	04280000	ELA	         789	74	         211	20	         578	54	         248	23	          33	3	       1,070	     512.7	          63.8	         853
Brooke Charter School (District)	04280000	MATH	         813	76	         201	19	         612	57	         226	21	          31	3	       1,070	     513.2	          65.2	         855
Brooke Charter School (District)	04280000	SCI	         227	65	          48	14	         179	52	         108	31	          12	3	         347	     507.5		
Brookfield	00450000	ELA	          91	55	           7	4	          84	51	          64	39	          11	7	         166	     501.0	          34.1	         118
Brookfield	00450000	MATH	         100	60	          20	12	          80	48	          55	33	          12	7	         167	     505.4	          57.1	         118
Brookfield	00450000	SCI	          19	53	           6	17	          13	36	          14	39	           3	8	          36	     507.1		
Brookline	00460000	ELA	       2,624	76	         858	25	       1,766	51	         724	21	         126	4	       3,474	     515.2	          57.9	       2,674
Brookline	00460000	MATH	       2,546	73	         876	25	       1,670	48	         756	22	         174	5	       3,476	     514.0	          59.5	       2,673
Brookline	00460000	SCI	         742	69	         189	18	         553	51	         287	27	          47	4	       1,076	     509.8		
Burlington	00480000	ELA	         940	59	         147	9	         793	50	         540	34	         102	6	       1,582	     504.8	          56.8	       1,214
Burlington	00480000	MATH	         956	60	         171	11	         785	50	         521	33	         105	7	       1,582	     505.4	          55.1	       1,218
Burlington	00480000	SCI	         282	55	          31	6	         251	49	         190	37	          40	8	         512	     501.6		
Cambridge	00490000	ELA	       1,588	60	         477	18	       1,111	42	         791	30	         262	10	       2,641	     507.0	          51.2	       1,924
Cambridge	00490000	MATH	       1,408	53	         366	14	       1,042	39	         933	35	         306	12	       2,647	     502.1	          49.4	       1,924
Cambridge	00490000	SCI	         420	49	          95	11	         325	38	         336	40	          94	11	         850	     501.0		
Canton	00500000	ELA	       1,001	65	         205	13	         796	52	         445	29	          89	6	       1,535	     507.8	          50.5	       1,201
